year,CO2_price,total_cost,fuel_cost,eu_ets_penalty,fuelEU_penalty,eu_ets_allowances,scenario
2025,90.0,6600569.73509177,4797691.360479586,1388353.3720606496,414525.00255153386,22037.355112073805,"['HFO', 'MDO', 'VLSFO']"
2030,90.0,7838634.652419616,4739182.92746645,2017056.463616072,1082395.2613370928,22411.73848462302,"['HFO', 'MDO', 'VLSFO']"
2035,90.0,9257858.952214772,4739182.927580598,2017056.463490842,2501619.561143332,22411.73848323158,"['HFO', 'MDO', 'VLSFO']"
2040,90.0,12012823.769346794,4739182.927211988,2017056.4637405712,5256584.378394235,22411.738486006347,"['HFO', 'MDO', 'VLSFO']"
2045,90.0,17188818.279692754,4739182.936318538,2017056.4599132545,10432578.88346096,22411.738443480604,"['HFO', 'MDO', 'VLSFO']"
2050,90.0,20194234.43888355,4739182.927440326,2017056.46362348,13437995.047819745,22411.738484705333,"['HFO', 'MDO', 'VLSFO']"
2025,90.0,5760152.7958735125,4748835.030984402,1011317.7648891106,0.0,16052.662934747788,"['LNG', 'MDO', 'VLSFO']"
2030,90.0,6193574.695162648,4748835.030965311,1444739.6641973364,0.0,16052.66293552596,"['LNG', 'MDO', 'VLSFO']"
2035,90.0,6193574.694963716,4748835.030600247,1444739.6643634688,0.0,16052.662937371875,"['LNG', 'MDO', 'VLSFO']"
2040,90.0,9143591.427536648,4748835.031023388,1444739.6640729466,2950016.732440314,16052.662934143853,"['LNG', 'MDO', 'VLSFO']"
2045,90.0,15355869.949365994,4748835.031629581,1444739.6643612287,9162295.253375184,16052.662937346986,"['LNG', 'MDO', 'VLSFO']"
2050,90.0,18962999.41063997,4748835.030971687,1444739.664049279,12769424.715619007,16052.662933880876,"['LNG', 'MDO', 'VLSFO']"
2025,90.0,6790698.327840942,5421935.334783133,1368762.993057809,0.0,21726.39671520332,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2030,90.0,6937979.106236115,5081613.357556663,1856365.748679452,0.0,20626.286096438354,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2035,90.0,7174243.285112836,5526777.719705572,1647465.5652523248,0.0001549391118625,18305.17294724805,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2040,90.0,7626412.427428922,6378746.0076178005,1247666.4196138454,0.0001972755429292,13862.960217931615,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2045,90.0,8453592.749284016,7937303.053645484,516289.69563853217,0.0,5736.552173761469,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2050,90.0,8920984.871757912,8817954.184370676,103030.6873872359,0.0,1144.7854154137322,"['VLSFO', 'MDO', 'BIO-DIESEL']"
2025,90.0,6600569.73481215,4797691.36011338,1388353.3720887788,414525.0026099912,22037.3551125203,"['HFO', 'MDO', 'VLSFO']"
2030,90.0,7838634.652602985,4739182.927860774,2017056.463407752,1082395.2613344584,22411.73848230836,"['HFO', 'MDO', 'VLSFO']"
2025,90.0,6603075.78799352,4800086.678260165,1388464.1071704803,414525.00256287353,22039.11281222985,"['HFO', 'MDO', 'VLSFO']"
2030,90.0,7840592.683348106,4743799.742637727,2014397.6793784893,1082395.2613318895,22382.19643753877,"['HFO', 'MDO', 'VLSFO']"
2035,90.0,9263804.738741808,4753202.418092914,2008982.7595644472,2501619.5610844465,22322.0306618272,"['HFO', 'MDO', 'VLSFO']"
2045,90.0,17190505.00743708,4743160.052317644,2014766.0715834573,10432578.88353598,22386.28968426063,"['HFO', 'MDO', 'VLSFO']"
2025,90.0,6605584.286276097,4802484.334238179,1388574.9499782205,414525.002059698,22040.872221876514,"['HFO', 'MDO', 'VLSFO']"
2030,90.0,7838975.716411487,4739987.117878599,2016593.337186557,1082395.261346331,22406.59263540619,"['HFO', 'MDO', 'VLSFO']"
2035,90.0,9259937.040435333,4744082.821441747,2014234.6580289952,2501619.560964589,22380.38508921106,"['HFO', 'MDO', 'VLSFO']"
2045,90.0,17198401.380398527,4761778.80511523,2004043.6917635282,10432578.883519769,22267.15213070587,"['HFO', 'MDO', 'VLSFO']"
